Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 221, 471, 1629, 899, 81, 500, 1003]",20482,20800,318,2.408981980988756,,,1,800,5,40,5,50,6,,6,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 221, 471, 1629, 899, 81, 500, 1003]",20482,20800,318,0.353542443132028,,,1,800,5,40,5,50,6,,6,2
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 221, 190, 462, 1133, 1251, 1543, 275, 319, 1581, 185, 849, 536, 36]",27319,28000,681,1.8469142250251025,,,1,800,5,40,5,50,6,,6,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 221, 190, 462, 1133, 1251, 1543, 275, 319, 1581, 185, 849, 536, 36]",27319,28000,681,0.1952023811172694,,,1,800,5,40,5,50,6,,6,3
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 221, 805, 1011, 378, 418, 602, 1008, 1629, 81, 1003, 1270, 1545, 503, 536, 36]",30581,31200,619,1.9835280110128224,,,1,800,5,40,5,50,6,,6,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 221, 805, 1011, 378, 418, 602, 1008, 1629, 81, 1003, 1270, 1545, 503, 536, 36]",30581,31200,619,0.1908409639727324,,,1,800,5,40,5,50,6,,6,4
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 221, 805, 1548, 526, 712, 1203, 1011, 961, 1629, 414, 594, 608, 612, 769, 44, 454, 849]",33056,33600,544,2.083594718016684,,,1,800,5,40,5,50,6,,6,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 221, 805, 1548, 526, 712, 1203, 1011, 961, 1629, 414, 594, 608, 612, 769, 44, 454, 849]",33056,33600,544,0.19125065091066065,,,1,800,5,40,5,50,6,,6,5
partition_matroid_greedy,"[20, 1098, 858, 913, 1309, 221, 805]",15934,16000,66,1.4789623408578336,,,1,800,5,40,5,50,6,,7,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[20, 1098, 858, 913, 1309, 221, 805]",15934,16000,66,0.2573303170502186,,,1,800,5,40,5,50,6,,7,1
