Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2775, 2328, 975, 2089, 149, 492, 2606, 2591, 2872, 2379]",19585,22400,2815,1.5052613120060414,,,1,800,5,40,5,50,6,,5,4
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2775, 2328, 975, 2002, 251, 520, 634, 17, 454, 1721, 2416, 2512, 374, 840, 1663]",22678,27200,4522,15.14813407510519,,,1,800,5,40,5,50,6,,5,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2775, 2328, 975, 2002, 251, 520, 634, 454, 1721, 2416, 2512, 2379, 2448, 3151, 627]",22278,26400,4122,1.8558496970217675,,,1,800,5,40,5,50,6,,5,5
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804]",13400,13600,200,10.329994915984573,,,1,800,5,40,5,50,6,,6,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804]",13400,13600,200,1.5203135460615158,,,1,800,5,40,5,50,6,,6,1
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 975, 1590, 17, 2606, 2591, 374]",17450,20800,3350,10.731840459862724,,,1,800,5,40,5,50,6,,6,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 975, 1590, 2606, 2591, 1826, 2379]",17150,20000,2850,1.7858414258807898,,,1,800,5,40,5,50,6,,6,2
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 975, 1590, 863, 767, 3168, 4392, 1101]",18265,20800,2535,19.72453939402476,,,1,800,5,40,5,50,6,,6,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 975, 1590, 863, 767, 3168, 4392, 1101]",18265,20800,2535,1.4839836049359292,,,1,800,5,40,5,50,6,,6,3
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 2775, 975, 1590, 2089, 492, 646, 705, 733, 17, 2606, 374, 840, 1663]",22660,27200,4540,19.832638530991968,,,1,800,5,40,5,50,6,,6,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 2775, 975, 2089, 149, 492, 646, 705, 2606, 2379, 2448, 3151, 627]",21160,24800,3640,1.4967550840228796,,,1,800,5,40,5,50,6,,6,4
