alg,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.0021477260161191225,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.00227013899711892,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.0020201639854349196,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.002400975034106523,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.002976679999846965,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.002049902977887541,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.0020345589728094637,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.002100985962897539,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.0027049609925597906,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.002098156022839248,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.0017899780068546534,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.002118809032253921,,,0.005,800,5,40,4,50,6
unconstrained_distorted_greedy,"{2881, 1215, 613, 1094, 488, 584, 3754, 557, 1137, 3699, 3667, 4019, 406, 2231, 1247}",191,5600,5409,0.002389036992099136,,,0.005,800,5,40,4,50,6
