alg,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
unconstrained_distorted_greedy,"{2304, 3331, 1544, 3468, 3598, 4242, 1682, 2455, 3876, 4395, 195, 1617, 213, 3417, 473, 860, 2027, 3566, 4463, 115, 1143, 2168, 4346}",16790,20000,3210,0.19141358096385375,,,0.2,800,5,40,5,50,7,
stochastic_distorted_greedy,"{2304, 3331, 1671, 1544, 3468, 3598, 1550, 2455, 932, 4395, 1598, 195, 1617, 213, 3417, 473, 860, 2027, 3566, 4463, 115, 1143, 4346}",18150,21600,3450,0.44771601300453767,,0.01,0.2,800,5,40,5,50,7,
distorted_greedy,"{4357, 2699, 278, 4507, 1949, 30, 2850, 547, 1831, 4147, 3763, 823, 190, 962, 4552, 4425, 4555, 2129, 1143, 98, 1893, 1647, 4083, 2933, 1527}",23655,27200,3545,124.94467333395733,,,0.3,800,5,40,5,50,7,
cost_scaled_greedy,"{4357, 2699, 4507, 30, 2850, 547, 1831, 4147, 3763, 823, 190, 962, 4552, 4425, 4555, 1143, 98, 1893, 1647, 4083, 1527}",22705,24000,1295,105.86622565198923,,,0.3,800,5,40,5,50,7,
cost_scaled_lazy_exact_greedy,"{962, 1527, 4357, 4552, 4425, 2699, 4555, 1143, 4507, 30, 2850, 547, 98, 1893, 1831, 1647, 4147, 3763, 4083, 823, 190}",22705,24000,1295,0.03199630102608353,,,0.3,800,5,40,5,50,7,
unconstrained_linear,"{4, 5, 6, 518, 11, 278, 151, 539, 30, 31, 32, 1185, 36, 39, 301, 46, 179, 710, 329, 333, 217, 219, 92, 98, 741, 102, 493, 1143}",21755,24800,3045,0.07679921801900491,,,0.3,800,5,40,5,50,7,
unconstrained_distorted_greedy,"{3456, 1795, 4355, 4357, 1670, 278, 4507, 1181, 419, 1831, 4530, 1334, 823, 1210, 2234, 4555, 2129, 339, 3541, 1115, 375, 98, 4458, 1015, 3830, 1527, 2294}",19470,23200,3730,0.2907199389883317,,,0.3,800,5,40,5,50,7,
stochastic_distorted_greedy,"{1795, 3331, 4355, 1670, 4357, 2699, 278, 4507, 1181, 419, 1831, 4530, 3763, 1334, 823, 1469, 1086, 4555, 339, 3541, 1143, 1115, 2909, 375, 98, 1893, 1647, 1015, 2933, 3830, 1527}",22540,26400,3860,0.8656144340056926,,0.01,0.3,800,5,40,5,50,7,
distorted_greedy,"{2054, 4232, 3866, 4382, 2463, 414, 289, 932, 4004, 3878, 4138, 4396, 1197, 2350, 4275, 3132, 1858, 1095, 4314, 1506, 98, 3812, 2280, 3566, 761, 4473}",25495,28000,2505,214.95788926503155,,,0.4,800,5,40,5,50,7,
cost_scaled_greedy,"{2054, 4232, 3866, 4382, 2463, 414, 289, 932, 4004, 3878, 4396, 1197, 4275, 3132, 1858, 1095, 4314, 1506, 98, 3812, 2280, 3566, 761, 4473}",24895,26400,1505,221.51199597597588,,,0.4,800,5,40,5,50,7,
cost_scaled_lazy_exact_greedy,"{1858, 2054, 1095, 4232, 3866, 4314, 4382, 2463, 414, 289, 1506, 98, 932, 4004, 3878, 3812, 2280, 4473, 4396, 1197, 3566, 4275, 761, 3132}",24895,26400,1505,0.04181029996834695,,,0.4,800,5,40,5,50,7,
unconstrained_linear,"{1, 129, 897, 6, 9, 21, 149, 151, 1050, 414, 33, 289, 179, 56, 184, 317, 73, 201, 975, 85, 1243, 478, 98, 1762, 1763, 357, 487, 628, 758, 1017}",21995,24800,2805,0.15925689501455054,,,0.4,800,5,40,5,50,7,
unconstrained_distorted_greedy,"{3331, 1543, 2328, 2712, 3866, 1700, 1197, 4527, 3763, 4275, 1718, 836, 4302, 2001, 2386, 2775, 4314, 2270, 1506, 2659, 3812, 98, 487, 3185, 4473}",19955,23200,3245,0.5778338369564153,,,0.4,800,5,40,5,50,7,
stochastic_distorted_greedy,"{3331, 2054, 1543, 2328, 2712, 3866, 414, 1700, 4004, 4138, 4396, 1197, 2350, 2865, 3763, 4275, 1718, 836, 4302, 2001, 2386, 2775, 4314, 2270, 1506, 2659, 3812, 98, 487, 3185, 4473}",23450,28000,4550,1.124093669001013,,0.01,0.4,800,5,40,5,50,7,
distorted_greedy,"{3723, 1420, 30, 32, 161, 544, 3874, 932, 4004, 3362, 1447, 166, 1453, 179, 1076, 2099, 189, 324, 2757, 2500, 1739, 1232, 4306, 2900, 981, 3417, 2780, 4063, 2916, 3833, 2170, 638}",29676,32800,3124,399.69741436699405,,,0.5,800,5,40,5,50,7,
cost_scaled_greedy,"{3723, 1420, 30, 32, 161, 544, 3874, 932, 4004, 3362, 1447, 1453, 179, 1076, 2099, 189, 324, 2757, 2500, 1739, 1232, 2900, 981, 3417, 2780, 4063, 2916, 3833, 2170, 638}",29076,31200,2124,379.9148873510421,,,0.5,800,5,40,5,50,7,
cost_scaled_lazy_exact_greedy,"{324, 2757, 2500, 3723, 1420, 1739, 1232, 2900, 981, 3417, 2780, 30, 4063, 32, 161, 544, 3874, 932, 4004, 3362, 1447, 2916, 1453, 179, 1076, 2099, 3833, 2170, 189, 638}",29076,31200,2124,0.045143533032387495,,,0.5,800,5,40,5,50,7,
